Target	Source	Reactome_Refs	"Journal source: open access (F), closed (restricted access) with information in accessible abstract (A), closed with information in full text (C)"	Reach_Refs	Reach_Literature-reference_statement	Reactome_Literature-reference_statement
RAC1	ARHGEF40	NO (PMID15107133)	F			"PMID15107133: In accordance with these findings, Scambio does not activate either Rac or Cdc42 but rather, stimulates guanine nucleotide exchange on RhoA and its close relative, RhoC."
RAC1	ARHGEF5	PMID15601624;NO (PMID19713215)	"C, F"			"PMID15601624: These data suggest that TIM is a potent activator of RhoA and also exhibits activity towards Rac1 and Cdc42 in vivo.;PMID19713215: Arhgef5 can strongly activate RhoA and RhoB and weakly RhoC and RhoG, but not Rac1, RhoQ, RhoD, or RhoV, in transfected human embryonic kidney 293 cells."
RAC1	ARHGEF6	PMID9659915;PMID21989057	"F, F"	PMID25635515;PMID25635515	"PMID25635515: Displacement of Arhgef6 suppresses Rac1 activity and the disappearance of Arp2/3 complex from the cell periphery , leading to defects in lamellipodia formation and inhibition of directional cell migration .;PMID25635515: Thus , Arhgef6 activates Rac1 and reorganizes the actin cytoskeleton around the focal complex of lamellipodia , which is necessary for cell spreading and migrationXREF_BIBR ."	"PMID9659915: Recombinant ?PIX155545 containing the DH domain was able to enhance GTP?S binding to various Rho p21s. As control, we used the DH domain of ABR (residues 104383), a GEF for Cdc42 and Rac1 (Chuang et al. 1995). Figure 6A shows the efficacy of PIX action in vitro to be in the order of Cdc42>Rac1>RhoA.;PMID21989057: These data indicate that the loss of ?Pix/Arhgef6 is associated with a significant decrease in active Cdc42 and Rac1, but not RhoA, in the hippocampus in vivo."
RAC1	ARHGEF7	PMID16492808;PMID9659915	"F, F"	PMID21423176;PMID21423176;PMID16923830;PMID16492808;PMID26056138;PMID26056138;PMID25014177;PMID23615439;PMID21423176	"PMID21423176: We show that beta-PIX is required for Rac1 activity and lamellipodial protrusion induced by myosinII inhibition , suggesting that beta-PIX may enhance Rac1 activity locally in myosinII-free cell regions such as lamellipodia .;PMID21423176: Rac1-GTP pulldown assays revealed that in cells expressing control shRNAs , Rac1 activity was increased by blebbistatin treatment 61 ( XREF_FIG ) , while blebbistatin induced Rac1 activation was abolished by beta-PIX knockdown .;PMID16923830: Thus , betaPIX , which is known to modulate EGFR function , activates Rac1 , causing EGF dependent oxidant production .;PMID16492808: Finally , Rac1 activation by beta-Pix was abrogated when their interaction was blocked by the Rac1 COOH-terminal peptide or when the beta-Pix W43K mutant was used .;PMID26056138: beta-PIX activates Rac1 GTPase by catalyzing the exchange of GDP to GTP ( XREF_BIBR ) .;PMID26056138: As expected , expression of beta-PIXb significantly increased the level of Rac1 activation in comparison to control cells .;PMID25014177: However , cytoplasmic pSTAT3 may also directly influence cell migration and process outgrowth , as found in fibroblasts , by binding to Rac1 activator beta-PIX , modulating cytoskeletal re-organizationXREF_BIBR .;PMID23615439: Activation of Rac1 by beta-PIX promotes lamellipodial protrusion and nascent adhesion turnover ( XREF_BIBR , XREF_BIBR ) , resulting in enhanced cell migration ( XREF_BIBR ) .;PMID21423176: beta-PIX in nascent FAs induces Rac1 activation , negatively regulates FA maturation and promotes cell migration ."	"PMID16492808: Indeed, the cells with reduced ?-Pix expression also showed reduced Rac1 activity after adhesion (Fig. 3 D), confirming that ?-Pix mediates adhesion-induced Rac1 activation.;PMID9659915: Cotransfected ?PIX reproducibly affected only GTP-Rac1 levels and not GTP-Cdc42 (lanes 3)."""
RAC1	ARHGEF9	NO (PMID10559246;PMID23255595)	"F,F"			PMID10559246: Employing biochemical activity assays for Rho-like GTPases we found that hPEM-2 specifically activates Cdc42 and not Rac or RhoA.;PMID23255595: from table and figures.
RAC1	ECT2	PMID10579713	F	PMID22384062;PMID24518591;PMID24518591	"PMID22384062: RNAi mediated knockdown of Ect2 in A549 cells inhibits Rac1 activity as well as it impairs growth , tumorigenicity and invasion of NSCLC cells XREF_BIBR .;PMID24518591: Our observations add Dock7 to a growing list of GEFs , including Trio , Vav3 , SWAP-70 , Ect2 , and SGEF that have been shown to be overexpressed in GBM tumours and promote Rac1 activation ( XREF_BIBR , XREF_BIBR , XREF_BIBR ) .;PMID24518591: Dock7 , Trio , Vav3 and SWAP-70 can directly activate Rac1 , whereas Ect2 and SGEF are likely to stimulate Rac1 activity via Cdc42 and RhoG , respectively ."	"PMID10579713: ECT2 catalyzes guanine nucleotide exchange on the small GTPases, RhoA, Rac1, and Cdc42."
RAC1	FGD1	NO (PMID8994827)	F			"PMID8994827: Instead, the injected cells showed large numbers of striking filopodial extensions; we conclude that FGD1 promotes nucleotide exchange on Cdc42, but not Rac or Rho."
RAC1	FGD2	NO (PMID18838382)	F			"PMID18838382: We did not see evidence of endogenous Cdc42 activation in COS-7 cells by recombinant FGD2 expression, indicating that in these cells, the levels of active Cdc42 were too low to be reproducibly measured. In addition, we did not see consistent evidence of activation of either Rac1 or RhoA using PAK1-Crib GST or Rhotekin RBD-GST beads (supplemental Fig. 1)."
RAC1	FGD3	N/D				N/D
RAC1	FGD4	NO (PMID10464238)	F	PMID22589722	"PMID22589722: Despite its specificity toward Cdc42 , FGD4 has also been shown to indirectly promote Rac1 activation XREF_BIBR ."	"PMID10464238: We found here that the fragment of frabin containing DHD and first PHD stimulated guanine nucleotide exchange of Cdc42Hs small G protein, but not that of RhoA or Rac1 small G protein."
RAC1	GNA13	PMID15339924	F			"PMID15339924: An analysis of Rac activity indicated that while Rac is stimulated by the expression of G?13QL in NIH3T3 cells (Fig. 4B), coexpression of Hax further enhanced such G?13QL-stimulated Rac activity."
RAC1	ITSN1	NO (PMID11584276;23255595)	"C,F"			"PMID11584276: No lamellipodia or stress fibres were observed after expression with the CRIB domain, as would be expected if intersectin-l also displayed GEF activity towards Rac1 or RhoA.;PMID23255595: from table and figures."
RAC1	KALRN	PMID12546821;PMID23288169	"F, F"			"PMID12546821: Activation of the EphB receptor induces translocation of the Rho-GEF kalirin to synapses and activation of Rac1 and its effector PAK.;PMID23288169: Thus, assessed at the level of the GTPase or the effector kinases, Kalirin appears to promote the activation of Rac1, but not RhoA, in SMCs."
RAC1	MCF2	NO (PMID11373293);PMID23255595	"F,F"	PMID25014207;PMID23614039	"PMID25014207: Dbl DHPH displaced and activated Rac1 Ic most efficiently as compared to Tiam1 and Vav2 , which is visualized by a significant amount of Rac1 Ic -GppNHp and Pak1 complex on the liposomes ( XREF_FIG ) .;PMID23614039: In addition , our assays also indicated that Dbl , Vav2 and Sos1 could activate Rac1 , and Dbl , Vav2 worked on RhoA ."	"PMID11373293: Transient overexpression of LARG did not activate the extracellular signal-regulated kinase or c-Jun NH(2)-terminal kinase mitogen-activated protein kinase cascade, suggesting LARG is not an activator of Ras, Rac, or Cdc42.;PMID23255595: from table and figures."
RAC1	MCF2L	NO (PMID10523665;PMID23255595)	"F,F"			"PMID10523665: Purified GST-Dbs DH-PH was highly effective in stimulating the dissociation of [3H]GDP from bacterially expressed RhoA and Cdc42, but not Rac1 or Ras (Fig. 2A).;PMID23255595: from table and figures."
RAC1	NET1	NO (PMID9670022)	F			"PMID9670022: mNET1?N promoted GTP?S loading onto RhoA, but showed no activity against Rac1 or Cdc42, while control immunoprecipitates showed no activity with any of the GTPases (Figure 2A, upper panel). In the GDP release assay, mNET1?N immunoprecipitates displayed activity against RhoA but not Rac1 or Cdc42 (Figure 2A, lower panel)."
RAC1	NGEF	PMID17702745	F			"PMID17702745: These findings strongly support the results of the nucleotide exchange assay, wherein the FGFR-mediated phosphorylation of some tyrosines augments the guanine nucleotide exchange activity of ephexin1 on RhoA without affecting the activity on Cdc42 or Rac1."
RAC1	OBSCN	NO (PMID19605563)	F			"PMID19605563: Other small GTPases, including rac1 and cdc42, neither associate with the rhoGEF domain of obscurin nor concentrate at the level of the M-bands."
RAC1	PLEKHG2	PMID18045877	F			PMID18045877: Combined expression of G?? and FLJ00018 significantly induced activation of Rac and Cdc42 but not RhoA.
RAC1	PLEKHG5	NO (PMID11704860)	F			"PMID11704860: The beta-galactosidase filter assays showed that GEF720 can activate RhoA in yeast, allowing the binding of the GTPase to its effector Rock, while it has no or little effect on Rac1, Cdc42Hs and RhoG (Figure 3a) nor on Rac2 and 3 (data not shown)."
RAC1	PREX1	PMID15858067;PMID16243036;PMID26887924;PMID23255595	"F, F, F ,F"	PMID26887924;PMID25961466;PMID26887924;PMID26887924;PMID26887924;PMID19305425;PMID25284585;PMID25284585;PMID25014207;PMID25284585;PMID23538840;PMID19305425;PMID25961466;PMID25961466;PMID25284585	"PMID26887924: Having demonstrated that Tiam1 and P-Rex1 elicit distinct Rac1 driven phenotypes , we were interested in deciphering the mechanism by which these contrasting phenotypes are manifested .;PMID25961466: In mouse neutrophils , where endogenous Rac1 and Rac2 play non redundant roles in ROS formation , cell spreading and motility , XREF_BIBR P-Rex1 preferentially activates Rac2 upon GPCR stimulation , XREF_BIBR but Rac1 upon E-selectin engagement.XREF _ BIBR In contrast , in macrophages , which also express both Rac1 and Rac2 , P-Rex1 activates Rac1 upon GPCR stimulation.XREF _ BIBR Recently , RhoG was identified as a major in vivo target of P-Rex1 in neutrophil GPCR signaling.XREF _ BIBR The similar effects of P-Rex1 and RhoG-deficiency led to the suggestion that P-Rex1-dependent Rac activity may be downstream of RhoG , potentially mediated by DOCK2 and Elmo .;PMID26887924: Tiam1 and P-Rex1 induce differential Rac1 downstream effects .;PMID26887924: In addition , Oris migration assays demonstrated that unlike Tiam1 WT , P-Rex1 activation of Rac1 resulted in significantly increased cell migration ( XREF_FIG ) .;PMID26887924: Taken together our data indicate that P-Rex1 not only activates Rac1 but is also able to direct proteins , such as FLII , to the active form of Rac1 to mediate specific cellular functions , including cell contraction , that enable P-Rex1 to enhance cell migration .;PMID19305425: The loss of Rac1 activity is important for the reduction of the PC-3 cell migration since NSC , which blocks the activation of Rac1 by P-Rex1 , also significantly reduced PC-3 cell migration .;PMID25284585: P-REX1 knock-down decreased activated Rac1 , which was found in complex with p-ERK .;PMID25284585: P-REX1 increased activation of Rac1 , PI3K and AKT , and MEK and ERK signaling in a PTEN independent manner , and promoted cell and tumor viability .;PMID25014207: P-Rex1 , Tiam1 and TrioN activated Rac1 Ic to a lower extent ( XREF_FIG ) , particularly TrioN , corresponding to their liposome binding capabilities ( XREF_FIG ) .;PMID25284585: We also found that P-REX1 activates IGF-1R and InsR , Rac1 , PI3K and AKT , and MEK and ERK signaling , and promotes cell and tumor viability .;PMID23538840: P-Rex1 activates Rac1 to stimulate actin polymerization and facilitate GLUT4 transport to the plasma membrane [ XREF_BIBR ] .;PMID19305425: As expected , silencing endogenous P-Rex1 also largely decreased Rac1 activity without a significant effect on RhoA activity .;PMID25961466: In vitro , full length P-Rex1 or the isolated DH/PH domain tandem ( iDHPH ) can activate all Rac like Rho family small G proteins - the ubiquitous Rac1 , haematopoietic Rac2 , neuronal Rac3 and the more distantly related widely expressed RhoG - as well as some that are Cdc42 like ( Cdc42 and TC10 , but not TCL ) , but none that are Rho like ( RhoA , RhoB or RhoC ) .;PMID25961466: XREF_BIBR In vivo , P-Rex1 substrate specificity is more restricted , which is not uncommon in GEFs and usually attributed to local substrate availability and binding affinities playing larger roles in vivo than in vitro.XREF _ BIBR In vivo , P-Rex1 activates Rac1 , Rac2 , Rac3 and RhoG , whereas there is no evidence for activation of Cdc42 .;PMID25284585: These findings confirm that P-REX1 activates Rac1 in ER+ breast cancer cells , and loss of P-REX1-induced Rac1 activation decreases p-ERK1/2 ."	"PMID15858067: However, in FL-P-Rex1-introduced cells, NGF treatment caused considerable increase of GTP-bound Rac1 (Fig. 3C).;PMID16243036: This preference for Rac2 may partially result from the apparent higher affinity of P-Rex1 for Rac2 than for Rac1 because P-Rex1 was more readily immunoprecipitated with Rac2S17N than Rac1S17N.;PMID26887924: Active Rac1 pulldown experiments demonstrated the ability of Tiam1 WT and P-Rex1 WT but not their GEF* mutants to activate Rac1 (Supplementary Fig. 1b,c).;PMID23255595: from table and figures."
RAC1	RASGRF2	PMID23940355	F			PMID23940355: RasGRF2 is a dual Ras/Rac guanine nucleotide exchange factor (GEF) that is known to be necessary for long-term potentiation in situ.
RAC1	SOS1	PMID9438849;NO (PMID18653540)	"C, F"	PMID22042618;PMID16520382;PMID22042618;PMID22042618;PMID22042618;PMID27138333;PMID22042618;PMID23614039;PMID22042618	"PMID22042618: These results suggested that CIIA facilitates the interaction between SOS1 and EPS8 as well as SOS1 mediated Rac1 activation in a manner independent of E3B1 .;PMID16520382: Tyrosine phosphorylation of sos1 by Abl tyrosine kinase promotes its rac1 specific GEF activity without compromising its ras specific GEF activity ( XREF_BIBR ) .;PMID22042618: This scaffold function might be an integral component of the mechanism by which CIIA promotes the SOS1 mediated activation of Rac1 .;PMID22042618: Given that CIIA facilitated SOS1 mediated Rac1 activation ( XREF_FIG ) , we investigated the possible effect of CIIA on EGF induced HeLa cell migration .;PMID22042618: CIIA promotes SOS1 mediated Rac1 activation .;PMID27138333: Sos1 has also been shown to activate Rac1 when in a complex with Eps8 and Abi1 [ XREF_BIBR , XREF_BIBR , XREF_BIBR ] , and Ras is thought to be involved in activating the Sos1 , Eps8 , and Abi1 complex via PI3K [ XREF_BIBR , XREF_BIBR ] .;PMID22042618: CIIA facilitates the SOS1 dependent activation of Rac1 while concomitantly repressing the SOS1 induced activation of Ras .;PMID23614039: In addition , our assays also indicated that Dbl , Vav2 and Sos1 could activate Rac1 , and Dbl , Vav2 worked on RhoA .;PMID22042618: RNAi mediated depletion of SOS1 suppressed the EGF induced activation of Rac1 in HeLa cells ( XREF_FIG ) , showing that SOS1 mediates Rac1 activation by this growth factor ."	"PMID9438849: In the presence of Iysates from cells expressing DH-Sos, the rate of release of guanine nucleotide from Rac was about twice as fast as that in the presence of Iysates from control cells (Fig. 1B), making it probable that DH-Sos functions as a GEF for Rac.;PMID18653540: However, knockdown of Sos proteins (Fig. 1C) or expression of a dominant-negative mutant of Ras (data not shown) did not impair EGF-induced Rac1 activation to a detectable level."
RAC1	SOS2	PMID9438849;NO (PMID18653540)	"C, F"			"PMID9438849: In the presence of Iysates from cells expressing DH-Sos, the rate of release of guanine nucleotide from Rac was about twice as fast as that in the presence of Iysates from control cells (Fig. 1B), making it probable that DH-Sos functions as a GEF for Rac.;PMID18653540: However, knockdown of Sos proteins (Fig. 1C) or expression of a dominant-negative mutant of Ras (data not shown) did not impair EGF-induced Rac1 activation to a detectable level."
